Datum;Feiertag;Religion
01.01.2017;Neujahr;
05.01.2017;Geburt Guru Gobind Singh;Sikh
06.01.2017;Heilige drei Könige;christlich
06.01.2017;Theophanie;christlich
07.01.2017;Weihnachten;buddhistisch
13.01.2017;Pongalfest der Tamilen (bis 16.01.);hinduistisch
19.01.2017;Theophanie;christlich-orthodox
27.01.2017;Gedenktag für die Opfer des Nationalsozialismus;
28.01.2017;Vietnamesisches und chinesisches Neujahr;
01.02.2017;Vasant Panchami / Sarasvati Puja;hinduistisch
02.02.2017;Darstellung des Herrn im Tempel;christlich
07.02.2017;Hizir-Fastenzeit (bis 09.02.) ;alevitisch
14.02.2017;St. Valentin;
15.02.2017;Darstellung des Herrn im Tempel ;christlich-orthodox
15.02.2017;Parinirvama Day ;buddhistisch
20.02.2017;Welttag der sozialen Gerechtigkeit;
21.02.2017;Internationaler Tag der Muttersprache;
23.02.2017;Weiberfastnacht;
25.02.2017;Maha Shivarati ;hinduistisch
25.02.2017;Aiyam-e Ha‘ ;bahai
27.02.2017;Tibetisches Neujahr;buddhistisch
27.02.2017;Rosenmontag;
28.02.2017;Veilchendienstag;
01.03.2017;Aschermittwoch;christlich
01.03.2017;Beginn der Fastenzeit (bis 15.04.) ;christlich
01.03.2017;Beginn Fastenmonat Ala (bis 19.03.) ;bahai
08.03.2017;Internationaler Tag der Frauen;
12.03.2017;Purimfest;hinduistisch
13.03.2017;Hola Mohalla ;Sikh
13.03.2017;Holifest;hinduistisch
14.03.2017;Neujahr der Sikhs ;Sikh
16.03.2017;Mariä Verkündigung ;christlich
18.03.2017;Equal Pay Day;
20.03.2017;Internationaler Tag des Glücks;
21.03.2017;Náw Ruz ;bahai
21.03.2017;Newrozfest;islamisch
21.03.2017;Internationaler Tag gegen Rassismus;
29.03.2017;Mariä Verkündigung ;christlich-orthodox
06.04.2017;Heilige Nacht Rega’ib ;islamisch
08.04.2017;Geburt des Buddhas ;buddhistisch
08.04.2017;Internationaler Roma-Tag;
09.04.2017;Palmsonntag;christlich
11.04.2017;Pessachfest (bis 18.04.) ;jüdisch
12.04.2017;Songkran (Theravada, Neujahr) ;buddhistisch
13.04.2017;Gründonnerstag;christlich
14.04.2017;Karfreitag;christlich
14.04.2017;Baisakhi;sikh
16.04.2017;Ostersonntag;christlich / christlich-orthodox
17.04.2017;Ostermontag;christlich / christlich-orthodox
19.04.2017;Roter Mittwoch der Yeziden ;yezidisch
21.04.2017;Ridvanfest (bis 02.05.) ;bahai
23.04.2017;Weißter Sonntag ;christlich
23.04.2017;Jom Hashoa ;jüdisch
27.04.2017;Girl’s Day;
30.04.2017;Jom haZikaron ;jüdisch
01.05.2017;Tag der Arbeit;
01.05.2017;Jom haAtzma’ut ;jüdisch
05.05.2017;Hidirellez (bis 06.05.) ;islamisch
05.05.2017;Europ. Protesttag zur Gleichstellung von Menschen mit Behinderung;
06.05.2017;Sankt Georgsfest der Roma ;christlich
08.05.2017;Ende 2. Weltkrieg;
10.05.2017;Vesakh-Feier ;buddhistisch
10.05.2017;Berat Kandili (Nacht der Erlösung, bis 11.05.) ;islamisch
14.05.2017;Muttertag;
15.05.2017;Internationaler Tag der Familie;
17.05.2017;Internationaler tag gegen Homo-/Transphobie;
20.05.2017;Tag der Begegnung;
21.05.2017;Welttag der kulturellen Vielfalt;
23.05.2017;Miradsch-Himmelfahrt;islamisch
23.05.2017;Erklärung des Bab ;bahai
23.05.2017;Tag des Grundgesetzes;
24.05.2017;Miradsch-Himmelfahrt ;islamisch
24.05.2017;Ramadan (bis 24.06.) ;islamisch
25.05.2017;Christi Himmelfahrt ;christlich
25.05.2017;Vatertag;
28.05.2017;Hinscheiden des Bahá’u’lláhs ;bahai
30.05.2017;5.Deutscher Diversity Tag ;
31.05.2017;Schawuot;jüdisch
01.06.2017;Internationaler Kindertag ;
04.06.2017;Pfingstsonntag;christlich
05.06.2017;Pfingstmontag;christlich
06.06.2017;Gedenkfest für Abdal Musa ;alevitisch
09.06.2017;Christi Himmelfahrt ;christlich
09.06.2017;Saka Dawa (tibetan Buddha Day) ;buddhistisch
11.06.2017;Trinitatis / Dreifaltigkeitsfest ;christlich / christlich-orthodox
15.06.2017;Fronleichnam;christlich
20.06.2017;Weltflüchtlingstag (UNO);
21.06.2017;aylat al-Qadr (Nacht der Bestimmung) ;islamisch
21.06.2017;Welthumanistentag;
25.06.2017;Fest des Fastenbrechens (bis 27.06.);islamisch
01.07.2017;Geburtstag des Dalai Lama ;buddhistisch
07.07.2017;Christopher Street Day – Straßenfest (bis 09.07.);
08.07.2017;Asalha Puja / Dhammacakka-Tag ;buddhistisch
09.07.2017;Märtyrertod des Bab ;bahai
09.07.2017;Cologne Pride Parade (CSD);
19.07.2017;Asala (Theravada) ;buddhistsisch
21.07.2017;Gedenktag für verstorbene Drogenabhängige ;
23.07.2017;Fasten 9.AW – Tisha B’AV ;jüdisch
27.07.2017;Choe-Khor Duechen (Tibet) ;buddhistisch
30.07.2017;Internationaler Tag der Freundschaft;
31.07.2017;Tisha B’AV ;jüdisch
02.08.2017;Gedenktag Genozid an den Roma;
09.08.2017;Internationaler Tag der indigenen Bevölkerungen;
12.08.2017;Internationaler Tag der Jugend;
13.08.2017;Bonfest Japan (bis 15.08);buddhistisch
13.08.2017;Internationaler Linkshändertag;
15.08.2017;Krishna Jamashtami ;hinduistisch
15.08.2017;Mariä Himmelfahrt ;christlich
16.08.2017;Hac? Bekta? Veli ;alevitisch
21.08.2017;Navaratri (bis 29.09.) ;hinduistisch
25.08.2017;Ganeshafest;hinduistisch
29.08.2017;Guru Granth Sahib ;sikh
01.09.2017;Opferfest/ Id al-adha (bis 04.09.);islamisch
01.09.2017;Antikriegstag;
08.09.2017;Alphabetisierungstag;
11.09.2017;Koptisch-/Äthiopisch-Orthodoxes Neujahr ;christlich-orthodox
15.09.2017;Internationaler Tag der Demokratie;
20.09.2017;Fatma Ana Fasten ;alevitisch
21.09.2017;Mariä Geburt ;christlich
21.09.2017;Muharrem Fasten ;alevitisch
21.09.2017;Rosch Ha-Schana ;jüdisch
21.09.2017;Islamisches Neujahr ;islamisch
23.09.2017;Tag der Bisexualität;
24.09.2017;Interkulturelle Woche (bis 30.09.);
26.09.2017;Durga Puja (bis 30.09.) ;hinduistisch
30.09.2017;Jom Kippur ;jüdisch
30.09.2017;Dussehrafest;hinduistisch
30.09.2017;Ashura-Fest ;islamisch
01.10.2017;Erntedankfest;christlich
02.10.2017;Tag des Flüchtlings;
03.10.2017;A?URA;alevitisch
04.10.2017;Sukkot (bis 11.10) ;jüdisch
05.10.2017;Kathina (Theravada) ;buddhistisch
07.10.2017;Welttag für menschenwürdige Arbeit;
10.10.2017;Lha Bab Duechen ;buddhistisch
11.10.2017;Simchat Tora ;jüdisch
11.10.2017;Internationaler Mädchentag;
11.10.2017;Internationaler Coming-Out Day;
15.10.2017;Tag des weißen Stockes;
19.10.2017;Diwalifest;hinduistisch
21.10.2017;Geburt des Bab ;bahai
31.10.2017;Reformationstag;
01.11.2017;Allerheiligen;christlich
02.11.2017;Allerseelen;christlich
04.11.2017;Geburt Guru Nanak ;sikh
09.11.2017;Mauerfall 1989;
11.11.2017;St. Martin ;christlich
11.11.2017;Beginn 5.Jahreszeit (Karneval);
12.11.2017;Geburt des Bahá’u’lláh ;bahai
16.11.2017;Internationaler Tag für Toleranz;
19.11.2017;Volkstrauertag;
20.11.2017;Weltkindertag;
22.11.2017;Buß- und Bettag ;christlich
25.11.2017;Internationaler Tag gegen Gewalt gegen Frauen;
26.11.2017;Totensonntag;christlich
29.11.2017;Mohammads Geburtstag (allg.) ;islamisch
30.11.2017;Mohammads Geburtstag (Indien);islamisch
03.12.2017;1.Advent ;christlich
06.12.2017;Nikolaustag;christlich
08.12.2017;Mariä Emfängnis ;christlich
10.12.2017;2.Advent ;christlich
13.12.2017;Chanukkafest (bis 20.12.) ;jüdisch
17.12.2017;3.Advent ;christlich
18.12.2017;internationaler Tag der Migrantinnen und Migranten;
20.12.2017;Internationaler Tag der menschlichen Solidarität;
24.12.2017;4.Advent ;christlich
24.12.2017;Heiligabend;christlich
25.12.2017;Weihnachtsfest;christlich
26.12.2017;Weihnachtsfest ;christlich
31.12.2017;Silvester;